                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91607,                 111.12,                 0.5196,                      0,                      0,                      0,                      0,                0.02321,                 132.07,                0.01315,                  2e-05,                  2e-05,                  2e-05
                      2,                0.36624,                 107.86,                0.21514,                      0,                      0,                      0,                      0,                 0.0231,                 132.16,                 0.0131,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.0852,                 106.37,                0.62199,                      0,                      0,                      0,                      0,                0.02299,                 132.22,                0.01304,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                0.73838,                  104.9,                0.44429,                      0,                      0,                      0,                      0,                0.02287,                  132.2,                0.01298,             0.00013168,             0.00013168,             0.00013168
                      5,                0.57596,                 102.48,                0.32753,                      0,                      0,                      0,                      0,                0.02273,                 132.13,                0.01291,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.1158,                 99.819,                0.68639,                      0,                      0,                      0,                      0,                0.02253,                 132.01,                 0.0128,             0.00019822,             0.00019822,             0.00019822
                      7,                 2.8916,                 98.312,                 1.5434,                      0,                      0,                      0,                      0,                0.02221,                 131.84,                0.01264,             0.00022911,             0.00022911,             0.00022911
                      8,                0.71937,                 93.608,                0.41268,                      0,                      0,                      0,                      0,                0.02178,                 131.67,                0.01241,             0.00025842,             0.00025842,             0.00025842
                      9,                 2.1148,                 89.966,                  1.251,                      0,                      0,                      0,                      0,                0.02154,                 131.62,                0.01229,             0.00028614,             0.00028614,             0.00028614
                     10,                 2.1917,                 88.286,                 1.1214,                      0,                      0,                      0,                      0,                0.02109,                 131.59,                0.01205,             0.00031228,             0.00031228,             0.00031228
                     11,                 3.4415,                 87.197,                 1.6734,                      0,                      0,                      0,                      0,                0.02057,                 131.55,                0.01178,             0.00033684,             0.00033684,             0.00033684
                     12,                 3.7994,                 81.944,                 1.7842,                      0,                      0,                      0,                      0,                   0.02,                 131.34,                0.01148,             0.00035981,             0.00035981,             0.00035981
                     13,                 4.2047,                 82.442,                 2.3021,                      0,                      0,                      0,                      0,                0.01937,                 130.83,                0.01115,              0.0003812,              0.0003812,              0.0003812
                     14,                 3.7143,                 74.338,                 1.8018,                      0,                      0,                      0,                      0,                0.01871,                  130.1,                 0.0108,               0.000401,               0.000401,               0.000401
                     15,                 5.3428,                 39.346,                 3.0464,                      0,                      0,                      0,                      0,                0.01794,                 128.75,                0.01039,             0.00041922,             0.00041922,             0.00041922
                     16,                 4.7844,                 60.473,                 2.8206,                      0,                      0,                      0,                      0,                0.01709,                 126.99,                0.00994,             0.00043586,             0.00043586,             0.00043586
                     17,                 6.3016,                  67.96,                 3.9887,                      0,                      0,                      0,                      0,                0.01616,                 124.75,                0.00944,             0.00045091,             0.00045091,             0.00045091
                     18,                 5.4343,                 66.021,                 3.2008,                      0,                      0,                      0,                      0,                0.01524,                 122.06,                0.00894,             0.00046438,             0.00046438,             0.00046438
                     19,                 4.5408,                 55.177,                 2.4999,                      0,                      0,                      0,                      0,                0.01424,                 117.99,                 0.0084,             0.00047626,             0.00047626,             0.00047626
                     20,                 4.7607,                 48.299,                 2.2175,                      0,                      0,                      0,                      0,                0.01311,                 112.33,                0.00778,             0.00048656,             0.00048656,             0.00048656
                     21,                 4.9013,                 63.418,                 2.7341,                      0,                      0,                      0,                      0,                0.01204,                 106.33,                0.00718,             0.00049528,             0.00049528,             0.00049528
                     22,                 5.1027,                 63.955,                 2.4111,                      0,                      0,                      0,                      0,                0.01089,                 100.52,                0.00653,             0.00050241,             0.00050241,             0.00050241
                     23,                  5.409,                 57.512,                 2.3434,                      0,                      0,                      0,                      0,                0.00978,                 94.801,                0.00591,             0.00050796,             0.00050796,             0.00050796
                     24,                 4.9441,                 28.872,                 2.4264,                      0,                      0,                      0,                      0,                0.00877,                 91.523,                0.00533,             0.00051192,             0.00051192,             0.00051192
